date,Aroon Up,Aroon Down
2018-08-09,60.0,5.0
2018-08-10,55.0,0.0
2018-08-13,50.0,100.0
2018-08-14,45.0,95.0
2018-08-15,40.0,90.0
2018-08-16,35.0,85.0
2018-08-17,30.0,80.0
2018-08-20,25.0,75.0
2018-08-21,20.0,70.0
2018-08-22,15.0,65.0
2018-08-23,10.0,60.0
2018-08-24,5.0,55.0
2018-08-27,100.0,50.0
2018-08-28,100.0,45.0
2018-08-29,95.0,40.0
2018-08-30,90.0,35.0
2018-08-31,85.0,30.0
2018-09-04,80.0,25.0
2018-09-05,75.0,20.0
2018-09-06,70.0,15.0
2018-09-07,65.0,10.0
2018-09-10,60.0,5.0
2018-09-11,55.0,0.0
2018-09-12,50.0,0.0
2018-09-13,45.0,95.0
2018-09-14,40.0,90.0
2018-09-17,35.0,100.0
2018-09-18,30.0,100.0
2018-09-19,25.0,95.0
2018-09-20,20.0,90.0
2018-09-21,15.0,85.0
2018-09-24,10.0,80.0
2018-09-25,5.0,75.0
2018-09-26,0.0,70.0
2018-09-27,0.0,65.0
2018-09-28,0.0,100.0
2018-10-01,10.0,95.0
2018-10-02,5.0,90.0
2018-10-03,0.0,85.0
2018-10-04,0.0,80.0
2018-10-05,50.0,75.0
2018-10-08,45.0,100.0
2018-10-09,40.0,95.0
2018-10-10,35.0,100.0
2018-10-11,30.0,100.0
2018-10-12,25.0,95.0
2018-10-15,20.0,90.0
2018-10-16,15.0,85.0
2018-10-17,10.0,80.0
2018-10-18,5.0,75.0
2018-10-19,0.0,70.0
2018-10-22,0.0,65.0
2018-10-23,0.0,60.0
2018-10-24,0.0,100.0
2018-10-25,25.0,95.0
2018-10-26,20.0,90.0
2018-10-29,15.0,85.0
2018-10-30,10.0,80.0
2018-10-31,5.0,75.0
2018-11-01,0.0,70.0
2018-11-02,100.0,65.0
2018-11-05,95.0,60.0
2018-11-06,90.0,55.0
2018-11-07,100.0,50.0
2018-11-08,100.0,45.0
2018-11-09,95.0,40.0
2018-11-12,90.0,100.0
2018-11-13,85.0,100.0
2018-11-14,80.0,100.0
2018-11-15,75.0,95.0
2018-11-16,70.0,90.0
2018-11-19,65.0,100.0
2018-11-20,60.0,100.0
2018-11-21,55.0,95.0
2018-11-23,50.0,100.0
2018-11-26,45.0,95.0
2018-11-27,40.0,90.0
2018-11-28,35.0,85.0
2018-11-29,30.0,80.0
2018-11-30,25.0,100.0
2018-12-03,20.0,95.0
2018-12-04,15.0,100.0
2018-12-06,10.0,100.0
2018-12-07,5.0,100.0
2018-12-10,0.0,100.0
2018-12-11,0.0,95.0
2018-12-12,0.0,90.0
2018-12-13,0.0,85.0
2018-12-14,0.0,100.0
2018-12-17,5.0,100.0
2018-12-18,0.0,95.0
2018-12-19,0.0,90.0
2018-12-20,25.0,85.0
2018-12-21,20.0,100.0
2018-12-24,15.0,100.0
2018-12-26,10.0,100.0
2018-12-27,5.0,95.0
2018-12-28,0.0,90.0
2018-12-31,0.0,85.0
2019-01-02,5.0,80.0
2019-01-03,0.0,75.0
2019-01-04,0.0,70.0
2019-01-07,5.0,65.0
2019-01-08,0.0,60.0
2019-01-09,5.0,55.0
2019-01-10,0.0,50.0
2019-01-11,0.0,45.0
2019-01-14,100.0,40.0
2019-01-15,100.0,35.0
2019-01-16,100.0,30.0
2019-01-17,100.0,25.0
2019-01-18,100.0,20.0
2019-01-22,95.0,15.0
2019-01-23,90.0,10.0
2019-01-24,85.0,5.0
2019-01-25,80.0,0.0
2019-01-28,75.0,0.0
2019-01-29,70.0,0.0
2019-01-30,100.0,5.0
2019-01-31,95.0,0.0
2019-02-01,90.0,0.0
2019-02-04,85.0,0.0
2019-02-05,80.0,0.0
2019-02-06,75.0,15.0
2019-02-07,70.0,10.0
2019-02-08,65.0,5.0
2019-02-11,60.0,0.0
2019-02-12,55.0,0.0
2019-02-13,50.0,0.0
2019-02-14,45.0,0.0
2019-02-15,40.0,75.0
2019-02-19,35.0,70.0
2019-02-20,30.0,65.0
2019-02-21,25.0,60.0
2019-02-22,20.0,55.0
2019-02-25,15.0,50.0
2019-02-26,10.0,45.0
2019-02-27,5.0,40.0
2019-02-28,0.0,35.0
2019-03-01,0.0,30.0
2019-03-04,75.0,25.0
2019-03-05,70.0,20.0
2019-03-06,65.0,15.0
2019-03-07,60.0,10.0
2019-03-08,55.0,5.0
2019-03-11,50.0,0.0
2019-03-12,45.0,15.0
2019-03-13,40.0,10.0
2019-03-14,35.0,5.0
2019-03-15,30.0,0.0
2019-03-18,100.0,70.0
2019-03-19,100.0,65.0
2019-03-20,95.0,60.0
2019-03-21,90.0,55.0
2019-03-22,85.0,100.0
2019-03-25,80.0,100.0
2019-03-26,75.0,95.0
2019-03-27,70.0,90.0
2019-03-28,65.0,85.0
2019-03-29,60.0,80.0
